sentence,correct_case,nom,dat,gen,acc,nom_fem,dat_fem,gen_fem,acc_fem,nom_neut,dat_neut,gen_neut,acc_neut,nom_plural,dat_plural,gen_plural,acc_plural
Sie singt im Chor.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Eltern gratulieren ihnen.,ihnen,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Ansicht ihre ist kontrovers.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Nachbar grüßt sie.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er joggt jeden Morgen.,er,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Chef vertraut ihm.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Lösung seine ist elegant.,sein,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Polizist verfolgt ihn.,ihn,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie malt ein Bild.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Freundin telefoniert mit ihr.,ihr,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Position ihrer ist klar.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Gäste warten auf sie.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Es schneit draußen.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Vater vertraut ihm.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Meinung seine ist wichtig.,seiner,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Mann spielt es.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie schwimmen im See.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Lehrer dankt ihnen.,ihnen,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Einstellung ihre ist positiv.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Großeltern backen für sie.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er meditiert im Garten.,er,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Mentor hilft ihm.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Theorie seine ist komplex.,sein,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Detektiv beobachtet ihn.,ihn,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie fotografiert die Landschaft.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Kollegin arbeitet mit ihr.,ihr,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Haltung ihre ist entschlossen.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Fans jubeln sie an.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Es donnert in der Ferne.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Berater folgt ihm.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Perspektive seine ist einzigartig.,seiner,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Das Tier isst es.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie reitet auf dem Pferd.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Nachbarn drohen ihnen.,ihnen,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Position ihre ist unverändert.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Publikum applaudiert sie.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er klettert auf den Berg.,er,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Katze sizt in der nähe von ihm.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Methode seine ist effektiv.,sein,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Pilot steuert ihn.,ihn,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie backt einen Kuchen.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der neue Haarschnitt passt ihr.,ihr,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Entscheidung ihre ist final.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Zuschauer beobachten sie.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Es blitzt am Himmel.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Professor dient ihn.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die These seine ist stichhaltig.,seiner,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Das Mädchen streichelt es.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie wandert im Wald.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Freunde helfen ihnen.,ihnen,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Meinung ihre ist respektiert.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Chor singt für sie.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er fährt Rad.,er,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Mechaniker verzeiht ihm.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Strategie seine ist erfolgreich.,sein,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Kapitän navigiert ihn.,ihn,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
